title,address,bed,bath,toilet,pkn_space,price
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",5 Bedrooms,5 Bathrooms,7 Toilets,4 Parking Spaces,"250,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Orchid Hotel Road, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets,2 Parking Spaces,"42,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Megamound Estate, Lekki County Homes., Ikota, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets, Save,"75,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,4 Parking Spaces,"215,000,000"
,,,,,,
2 bedroom house for sale,"  Ikota Villa Estate, Lekki, Lagos",2 Bedrooms,2 Bathrooms,3 Toilets, Save,"30,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  Adeniyi Jones, Ikeja, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"110,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Off Ladoke Akintola, Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,4 Parking Spaces,"600,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",5 Bedrooms,5 Bathrooms,7 Toilets,4 Parking Spaces,"250,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Orchid Hotel Road, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets,2 Parking Spaces,"42,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Megamound Estate, Lekki County Homes., Ikota, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets, Save,"75,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,4 Parking Spaces,"215,000,000"
,,,,,,
2 bedroom house for sale,"  Ikota Villa Estate, Lekki, Lagos",2 Bedrooms,2 Bathrooms,3 Toilets, Save,"30,000,000"
,,,,,,
5 bedroom semi-detached duplex for sale,"  Adeniyi Jones, Ikeja, Lagos",5 Bedrooms,5 Bathrooms,6 Toilets,4 Parking Spaces,"110,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Off Ladoke Akintola, Ikeja GRA, Ikeja, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,4 Parking Spaces,"600,000,000"
,,,,,,
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",5 Bedrooms,5 Bathrooms,7 Toilets,4 Parking Spaces,"250,000,000"
,,,,,,
3 bedroom terraced duplex for sale,"  Orchid Hotel Road, Lekki, Lagos",3 Bedrooms,3 Bathrooms,4 Toilets,2 Parking Spaces,"42,000,000"
,,,,,,
4 bedroom detached duplex for sale,"  Megamound Estate, Lekki County Homes., Ikota, Lekki, Lagos",4 Bedrooms,5 Bathrooms,5 Toilets, Save,"75,000,000"
,,,,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",4 Bedrooms,4 Bathrooms,5 Toilets,4 Parking Spaces,"215,000,000"
,,,,,,
